0,0,Dirt Block (placed).png,Dirt BlockDirt Block,Dirt
1,0,Stone Block (placed).png,Stone BlockStone Block,Stone
2,0,Grass,Grass,Grass
2,Beach,Beach grass.png,Beach grass?(unused),
3,0,Tiles 3 0.png,Tall Grass,Plants
3,1,Tiles 3 1.png,,
3,2,Tiles 3 2.png,,
3,3,Tiles 3 3.png,,
3,4,Tiles 3 4.png,,
3,5,Tiles 3 5.png,,
3,6,Tiles 3 6.png,Magenta Flower,
3,30,Tiles 3 30.png,,
3,31,Tiles 3 31.png,,
3,32,Tiles 3 32.png,,
3,7,Tiles 3 7.png,Pink Flower,
3,17,Tiles 3 17.png,,
3,33,Tiles 3 33.png,,
3,34,Tiles 3 34.png,,
3,35,Tiles 3 35.png,,
3,8,Mushroom (placed).png,Mushroom,
3,9,Tiles 3 9.png,Blue Flower,
3,16,Tiles 3 16.png,,
3,20,Tiles 3 20.png,,
3,10,Tiles 3 10.png,Yellow Flower,
3,11,Tiles 3 11.png,,
3,13,Tiles 3 13.png,,
3,18,Tiles 3 18.png,,
3,24,Tiles 3 24.png,,
3,25,Tiles 3 25.png,,
3,26,Tiles 3 26.png,,
3,12,Tiles 3 12.png,Violet Flower,
3,42,Tiles 3 42.png,,
3,43,Tiles 3 43.png,,
3,44,Tiles 3 44.png,,
3,14,Tiles 3 14.png,White Flower,
3,15,Tiles 3 15.png,,
3,27,Tiles 3 27.png,,
3,28,Tiles 3 28.png,,
3,29,Tiles 3 29.png,,
3,36,Tiles 3 36.png,,
3,37,Tiles 3 37.png,,
3,38,Tiles 3 38.png,,
3,19,Tiles 3 19.png,Red Flower,
3,21,Tiles 3 21.png,,
3,22,Tiles 3 22.png,,
3,23,Tiles 3 23.png,,
3,39,Tiles 3 39.png,,
3,40,Tiles 3 40.png,,
3,41,Tiles 3 41.png,,
4,0,Tiles 4 0 0.png?Tiles 4 0 1.png?Tiles 4 0 2.png?Tiles 4 0 3.png?Tiles 4 0 4.png?Tiles 4 0 5.png,TorchTorch,Torches
4,1,Tiles 4 1 0.png?Tiles 4 1 1.png?Tiles 4 1 2.png?Tiles 4 1 3.png?Tiles 4 1 4.png?Tiles 4 1 5.png,Blue TorchBlue Torch,
4,2,Tiles 4 2 0.png?Tiles 4 2 1.png?Tiles 4 2 2.png?Tiles 4 2 3.png?Tiles 4 2 4.png?Tiles 4 2 5.png,Red TorchRed Torch,
4,3,Tiles 4 3 0.png?Tiles 4 3 1.png?Tiles 4 3 2.png?Tiles 4 3 3.png?Tiles 4 3 4.png?Tiles 4 3 5.png,Green TorchGreen Torch,
4,4,Tiles 4 4 0.png?Tiles 4 4 1.png?Tiles 4 4 2.png?Tiles 4 4 3.png?Tiles 4 4 4.png?Tiles 4 4 5.png,Purple TorchPurple Torch,
4,5,Tiles 4 5 0.png?Tiles 4 5 1.png?Tiles 4 5 2.png?Tiles 4 5 3.png?Tiles 4 5 4.png?Tiles 4 5 5.png,White TorchWhite Torch,
4,6,Tiles 4 6 0.png?Tiles 4 6 1.png?Tiles 4 6 2.png?Tiles 4 6 3.png?Tiles 4 6 4.png?Tiles 4 6 5.png,Yellow TorchYellow Torch,
4,7,Tiles 4 7 0.png?Tiles 4 7 1.png?Tiles 4 7 2.png?Tiles 4 7 3.png?Tiles 4 7 4.png?Tiles 4 7 5.png,Demon TorchDemon Torch,
4,8,Tiles 4 8 0.png?Tiles 4 8 1.png?Tiles 4 8 2.png?Tiles 4 8 3.png?Tiles 4 8 4.png?Tiles 4 8 5.png,Cursed TorchCursed Torch,
4,9,Tiles 4 9 0.png?Tiles 4 9 1.png?Tiles 4 9 2.png?Tiles 4 9 3.png?Tiles 4 9 4.png?Tiles 4 9 5.png,Ice TorchIce Torch,
4,10,Tiles 4 10 0.png?Tiles 4 10 1.png?Tiles 4 10 2.png?Tiles 4 10 3.png?Tiles 4 10 4.png?Tiles 4 10 5.png,Orange TorchOrange Torch,
4,11,Tiles 4 11 0.png?Tiles 4 11 1.png?Tiles 4 11 2.png?Tiles 4 11 3.png?Tiles 4 11 4.png?Tiles 4 11 5.png,Ichor TorchIchor Torch,
4,12,Tiles 4 12 0.png?Tiles 4 12 1.png?Tiles 4 12 2.png?Tiles 4 12 3.png?Tiles 4 12 4.png?Tiles 4 12 5.png,Ultrabright TorchUltrabright Torch,
4,13,Tiles 4 13 0.png?Tiles 4 13 1.png?Tiles 4 13 2.png?Tiles 4 13 3.png?Tiles 4 13 4.png?Tiles 4 13 5.png,Bone TorchBone Torch,
4,14,Tiles 4 14 0.png?Tiles 4 14 1.png?Tiles 4 14 2.png?Tiles 4 14 3.png?Tiles 4 14 4.png?Tiles 4 14 5.png,Rainbow TorchRainbow Torch,
4,15,Tiles 4 15 0.png?Tiles 4 15 1.png?Tiles 4 15 2.png?Tiles 4 15 3.png?Tiles 4 15 4.png?Tiles 4 15 5.png,Pink TorchPink Torch,
4,16,Tiles 4 16 0.png?Tiles 4 16 1.png?Tiles 4 16 2.png?Tiles 4 16 3.png?Tiles 4 16 4.png?Tiles 4 16 5.png,Desert TorchDesert Torch,
4,17,Tiles 4 17 0.png?Tiles 4 17 1.png?Tiles 4 17 2.png?Tiles 4 17 3.png?Tiles 4 17 4.png?Tiles 4 17 5.png,Coral TorchCoral Torch,
4,18,Tiles 4 18 0.png?Tiles 4 18 1.png?Tiles 4 18 2.png?Tiles 4 18 3.png?Tiles 4 18 4.png?Tiles 4 18 5.png,Corrupt TorchCorrupt Torch,
